SQLDATE,EventCode,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,AvgTone
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.43776824034334
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-10.2261553588988
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.43776824034334
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-8.18713450292398
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.3490813648294
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.11028315946349
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-8.18713450292398
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.43776824034334
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.43776824034334
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.74506283662478
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.17646000665197
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-8.89908256880732
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.40608034744843
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-9.01639344262295
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-10.8179419525066
20240820,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.65863547203486
20240820,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.33596837944664
20240820,145,"Chicago, Illinois, United States",41.85,-87.6501,-19.2307692307692
20240820,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.5864971441068
20240820,145,"Chicago, Illinois, United States",41.85,-87.6501,-0.456106227081702
20240820,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.07113287640818
20240820,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.22580645161291
20240820,145,"Chicago, Illinois, United States",41.85,-87.6501,-0.48283261802575
20240820,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.00640709709216
20240820,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.82348667453032
20240820,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.43507443881779
20240820,145,"Chicago, Illinois, United States",41.85,-87.6501,-0.598303436888655
20240820,145,"Chicago, Illinois, United States",41.85,-87.6501,-9.24369747899157
20240820,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.94143167028199
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.02576112412178
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.58008658008658
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.11418685121107
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.52568463888846
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,1.79738562091503
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.44010516389047
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.11418685121107
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.07166123778501
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.2445019404916
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.58008658008658
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.39837592405877
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.46274921301154
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.69230769230769
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.94143167028199
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.46274921301154
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,1.79738562091503
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.02063265241245
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.28697481889736
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.71370967741936
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.71370967741936
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.28846803211131
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.11418685121107
20240819,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.07166123778501
20240818,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.72497036053196
20240818,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.72497036053196
20240818,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.42870329024853
20240818,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.83863189255896
20240818,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.9585798816568
20240818,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.23272163160669
20240818,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.10123335840068
20240818,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.7203166226913
20240818,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.7203166226913
20240818,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.7203166226913
20240818,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.17154811715481
20240817,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.42355371900827
20240817,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.99301231449882
20240817,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.28380187416332
20240817,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.64968121411547
20240817,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.99301231449882
20240817,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.43455401740273
20240817,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.42314990512334
20240817,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.60993473186719
20240817,145,"Chicago, Illinois, United States",41.85,-87.6501,-0.924847461654276
20240817,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.76663528741086
20240816,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.37837837837838
20240816,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.37837837837838
20240816,145,"Chicago, Illinois, United States",41.85,-87.6501,-0.41841004184101
20240816,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.70262793914247
20240815,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.69277515192437
20240815,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.34156558627131
20240815,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.34156558627131
20240815,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.91891891891891
20240814,145,"Chicago, Illinois, United States",41.85,-87.6501,-0.1025641025641
20240809,145,"Chicago, Illinois, United States",41.85,-87.6501,-8.47457627118641
20240809,145,"Chicago, Illinois, United States",41.85,-87.6501,-8.47457627118641
20240806,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.60358056265984
20240806,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.19624101713654
20240805,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.94676806083651
20240805,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.94676806083651
20240805,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.94676806083651
20240804,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.63078848560701
20240802,145,"Chicago, Illinois, United States",41.85,-87.6501,-8.26985854189341
20240802,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.49638802889577
20240802,145,"Chicago, Illinois, United States",41.85,-87.6501,-8.26985854189341
20240802,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.49638802889577
20240801,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.86373165618449
20240801,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.86373165618449
20240801,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.86373165618449
20240801,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.98329355608592
20240801,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.49253731343284
20240801,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.98329355608592
20240729,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.99429386590584
20240724,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.06513409961685
20240723,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.71010736764159
20240722,145,"Chicago, Illinois, United States",41.85,-87.6501,0.54102795311091
20240722,145,"Chicago, Illinois, United States",41.85,-87.6501,0.54151624548736
20240722,145,"Chicago, Illinois, United States",41.85,-87.6501,-0.80591000671592
20240722,145,"Chicago, Illinois, United States",41.85,-87.6501,-0.80591000671592
20240722,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.27225130890052
20240722,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.27225130890052
20240721,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.87092534980742
20240721,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.87092534980742
20240717,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.65895953757225
20240717,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.65895953757225
20240717,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.65895953757225
20240716,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.92782326891972
20240716,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.92782326891972
20240716,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.92782326891972
