SQLDATE,EventCode,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,AvgTone
20200601,145,"Wicker Park, Illinois, United States",41.9075,-87.677,-7.31132075471698
20200601,145,"Wicker Park, Illinois, United States",41.9075,-87.677,-7.31132075471698
20200531,145,"Chicago River, Illinois, United States",41.8867,-87.6373,-3.03030303030303
20200531,145,"Wrigley Building, Illinois, United States",41.8898,-87.6248,-6.90300199528387
20200531,145,"Chicago River, Illinois, United States",41.8867,-87.6373,-6.97767892369604
20190812,145,"University Of Illinois At Chicago, Illinois, United States",41.872,-87.6492,-9.09100491177774
20180507,145,"Near West Side, Illinois, United States",41.88,-87.6667,-10.3092783505155
20180507,145,"Near West Side, Illinois, United States",41.88,-87.6667,-10.3092783505155
20180307,145,"School Of The Art Institute Of Chicago, Illinois, United States",41.8789,-87.6217,-2.26986128625473
20170618,145,"Millenium Park, Illinois, United States",41.8828,-87.6228,-3.13199105145414
20170618,145,"Millenium Park, Illinois, United States",41.8828,-87.6228,-3.72815768788923
20170618,145,"Millenium Park, Illinois, United States",41.8828,-87.6228,-3.13199105145414
20161021,145,"University Of Illinois At Chicago, Illinois, United States",41.872,-87.6492,-4.16171224732462
20160322,145,"University Of Illinois At Chicago, Illinois, United States",41.872,-87.6492,-1.84696569920844
20160320,145,"University Of Illinois At Chicago, Illinois, United States",41.872,-87.6492,-7.41721854304636
20160320,145,"University Of Illinois At Chicago, Illinois, United States",41.872,-87.6492,-7.41721854304636
20160313,145,"University Of Illinois At Chicago, Illinois, United States",41.872,-87.6492,-8.57142857142856
20160313,145,"University Of Illinois At Chicago, Illinois, United States",41.872,-87.6492,-8.57142857142856
20160312,145,"Chicago Loop, Illinois, United States",41.8811,-87.6298,-2.36686390532544
20151225,145,"Water Tower Place, Illinois, United States",41.8978,-87.6237,-12.8509543352225
